track,track_start_bar,mix_start_bar,track_end_bar,mix_end_bar,track_loop,analysis
01. See Me Coming,1,3,89,91,,
01. See Me Coming,121,91,166,136,,"at the end of the first core: skips the breakdown and the additional buildup, right to the part that repeats the first buildup"
02. Tonight (Samuel Moriero Remix),17,135,77,195,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
03. WATCH OUT,23,193,61,231,,"overlaps previous track by two bars, enters with 2-bar anacrusis"
04. ID,,231,,285,,
05. HUMBLE (Samuel Moriero REMIX),8,284,41,317,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
05. HUMBLE (Samuel Moriero REMIX),109,317,145,353,,"Skips 68 bars, likely from m. 41 (not from 33 because in the mix there are lyrics which 101ff. don't have; probably not from 45 because in the mix comes the riser that leads into m. 117) "
06. ID,,352,,425,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
07. People Stomping,1,425,65,489,,
07. People Stomping,73,489,117,533,,skips the 8-bar breakdown
08. F THE POLICE,122,532,133,543,,"overlaps previous track by one bar, enters with 1-bar anacrusis; the mix itself has a slightly different variant of the ending that the track comes in with"
08. F THE POLICE,1,543,130,672,,"after the ending, the track starts from the beginning; last seven bars fade out"
09. Rodeo,13,665,29,681,,
09. Rodeo,37,681,85,729,,skips 8 bars
09. Rodeo,125,729,153,757,,
09. Rodeo,177,757,185,765,,
09. Rodeo,,765,,766,,mix adds one bar with added terminal gesture (single downbeat)
10. The Sound,1,766,64,829,,
10. The Sound,64,829,65,841,12,
11. LIKE ME,,840,,843,,mix adds three bars of an anacrustic gesture (1+2) using the new songs motto
11. LIKE ME,9,843,125,959,,
11. LIKE ME,,959,,967,,mix adds an 8-bar outro
12. PRESSURE,39,965,105,1031,,"overlaps previous outro by two bars, enters with 2-bar anacrusis"
12. PRESSURE,105,1031,113,1039,,"these last 8 bars of the track are fading out, this is mainly to show that phrases are perfectly aligned"
13. TURN IT UP!,52,1030,61,1039,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
13. TURN IT UP!,9,1039,61,1091,,
13. TURN IT UP!,69,1091,101,1123,,skips 8 bars
13. TURN IT UP!,53,1123,61,1139,2,"loop fades out; hypermetrical anacrusis (""the 8"") replaced by ""Tunnel Vision"" motto"
14. Tunnel Vision - Junkie Kid Remix,,1130,,1131,,"the ""4"" of the subsequent loop as hypermetrical anacrusis"
14. Tunnel Vision - Junkie Kid Remix,,1131,,1139,,2x 4-bar loop fabricated from the intro and the core's beat
14. Tunnel Vision - Junkie Kid Remix,,1139,,1143,,fabricated spherical breakdown/transition welcoming the intro
14. Tunnel Vision - Junkie Kid Remix,1,1143,73,1215,,
14. Tunnel Vision - Junkie Kid Remix,65,1215,73,1223,,maybe by looping the last 8 bars of the previous segment
15. EMERGENCY,64,1222,145,1303,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
16. ID,,1301,,1399,,"overlaps previous track by two bars, enters with 2-bar anacrusis"
17. ID,,1398,,1503,,"overlaps previous track by one bar, enters with 1-bar anacrusis; enters with the 9 bars preceding a breakdown (typical mixing technique)"
18. Die,16,1502,33,1519,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
18. Die,81,1519,165,1603,,
19b. Call You,32,1602,41,1611,,"overlaps previous track by one bar, enters with 1-bar anacrusis; these 9 bars are equivalent to mm. 32-41, but in a more generic variant (e.g., without the spoken motto)"
19a. Dying For You,65,1611,73,1619,,
19a. Dying For You,89,1619,117,1647,,skips the singing part to go right to the anthem
19b. Call You,88,1646,137,1695,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
20. I SET FIRE,41,1694,71,1724,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
20. I SET FIRE,71,1726,136,1791,,set introduces two empty bars
21. The Chrononaut,55,1790,63,1798,,"overlaps previous track by one bar, enters with 1-bar anacrusis; this is fabricated based on the indicated segment by adding hihat and using it as connector (""intro/outro"") both before and after the main part"
21. The Chrononaut,71,1798,131,1858,,
21. The Chrononaut,55,1858,64,1867,,same fabricated segment
22. GO CRAZY,40,1866,49,1875,,"overlaps previous track by one bar, enters with 1-bar anacrusis"
22. GO CRAZY,1,1875,49,1923,,
23. Bass Kick,53,1922,54,1923,,"least elaborate version of the ""cadence"" (ending first core before the buildup)"
23. Bass Kick,138,1923,144,1929,,outro serves as intro
23. Bass Kick,36,1929,38,1931,,"percussion of the 2-bar cadence leading into the first core's climax but with ""let the bass kick"" motto (instead of, ""use a different kick"" from the original)"
23. Bass Kick,2,1931,54,1983,,
23. Bass Kick,78,1983,146,2051,,last eight bars fade out
24. PUMP THIS BASS,18,2043,142,2167,,"fades in over the 8 last bars of the previous track; the beginning of the segment comes with the plain beat, without the vocals; last 8 bars fade out"
25. Woops (Anderex Edit),69,2159,75,2165,,just the beat
25. Woops (Anderex Edit),67,2165,69,2167,,just the rising pitch
25. Woops (Anderex Edit),1,2167,97,2263,,
26. Explosive,31,2263,35,2267,,
25. Woops (Anderex Edit),101,2267,106,2272,,
26. Explosive,39,2271,82,2314,,ending fades out (last bar would be terminal downbeat only)
27. Back Now,128,2312,137,2321,,1-bar anacrusis
27. Back Now,1,2321,137,2457,,last eight bars fade out
28. Fkn Raw,47,2449,51,2457,2,material newly assembled from these four bars; last two bars have vocal motto
28. Fkn Raw,1,2457,115,2571,,last eight bars fade out
29. HEROINE - Samuel Moriero Remix,9,2563,97,2651,,fades in over the 8 last bars of the previous track;
30. Hard Beat (Revelation Bootleg),2,2651,117,2766,,
31. Fuck U 2025 - Kruelty Remix,1,2763,58,2820,,track starts with a 1-bar hypermetrical anacrusis
32. GUCCI BAG - Revelation Live Edit,37,2819,61,2843,,1-bar anacrusis; last three bars fade out
32. GUCCI BAG - Revelation Live Edit,14,2840,38,2864,,
32. GUCCI BAG - Revelation Live Edit,72,2864,76,2868,,
32. GUCCI BAG - Revelation Live Edit,76,2868,77,2880,12,loop fades out
33. ANNIHILATE,5,2868,112,2975,,first four bars fade in over the loop
34. BLOW IT UP,2,2967,3,2968,,jingle pt.2
34. BLOW IT UP,7,2971,8,2972,,jingle pt.1
34. BLOW IT UP,2,2975,51,3024,,1-bar anacrusis (first bar = jingle pt.2)
35. DANGER ZONE,16,3023,37,3044,,1-bar anacrusis
36. ID,,3044,,3073,,last seven bars fade out
37. Annihilatiøn,55,3066,59,3070,,"Hypothesis that the beat from m. was combined with the vocals from mm.; the combination was played for 7 bars, followed by the song’s motto from m. 16; the anacrustic kick at the end of the latter, as well as the chopped-up nature of this track’s analysis, support the hypothesis that Moriero is playing a custom edit (rather than using hot cues / pads)"
37. Annihilatiøn,55,3070,58,3073,,
37. Annihilatiøn,16,3073,17,3074,,1-bar motto before the intro (and before that some more vocals but barely audible)
37. Annihilatiøn,1,3074,54,3127,,
37. Annihilatiøn,71,3126,107,3162,,
37. Annihilatiøn,25,3162,26,3170,8,the beat of bar 25 is the basis here
37. Annihilatiøn,55,3162,59,3166,,
37. Annihilatiøn,59,3166,60,3170,4,
38. Gasoline,1,3162,89,3250,,fades in over the 8 last bars of the previous track;
39. OVERTHROW,31,3247,33,3249,,2-bar anacrusis
39. OVERTHROW,29,3249,37,3257,,beat from here
39. OVERTHROW,45,3249,53,3257,,melody from here
39. OVERTHROW,53,3257,99,3303,,
39. OVERTHROW,107,3303,121,3317,,last four bars are just terminal downbeat + reverb
40. Brace For Impact,20,3313,24,3317,,
40. Brace For Impact,44,3317,76,3349,,
40. Brace For Impact,91,3348,138,3395,,last two bars are just terminal downbeat + reverb
41a. ID,,3393,,3513,,2-bar anacrusis
